question,answer,topic
"What courses does HIndusthan Institute of technology offer for B.Tech?","HIndusthan Institute of technology offers B.Tech in Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering, and Electronics & Communication.","Courses Offered"
"What M.Tech programs are available at HIndusthan Institute of technology?","We offer M.Tech programs in Computer Science,Mechanical Engineering,Ai&Ds,Ece
"Does the college offer an MBA program?","Yes, HIndusthan Institute of technology offers a 2-year full-time MBA program with specializations in Marketing, Finance, HR, and Operations.","Courses Offered"
"What is the duration of B.Tech courses?","B.Tech courses at HIndusthan Institute of technology are 4 years long, divided into 8 semesters.","Courses Offered"
"Are lateral entry admissions available for B.Tech?","Yes, diploma holders can apply for lateral entry into the second year of B.Tech programs.","Courses Offered"
"How many seats are available in each B.Tech program?","Each B.Tech program has approximately 60-120 seats depending on the department.","Courses Offered"
"What is the total annual fee for B.Tech courses?","The annual fee for B.Tech programs is ₹1,50,000 for Management and for counsilling students ₹89,000","Fees and Scholarships"
"Does HIndusthan Institute of technology offer scholarships?","Yes, we offer merit-based scholarships, need-based scholarships, and scholarships for sports and cultural achievements.","Fees and Scholarships"
"Are there any fee waivers for deserving students?","Yes, economically weaker students can apply for partial or full fee waivers.","Fees and Scholarships"
"Is hostel accommodation available?","Yes, HIndusthan Institute of technology provides separate hostels for boys and girls with all modern facilities.","Hostel and Facilities"
"What facilities are provided in the hostels?","Hostels include furnished rooms, 24/7 Wi-Fi, mess facilities, recreation rooms, and laundry services.","Hostel and Facilities"
"Is there a medical facility in the hostel?","Yes, a 24/7 medical facility with an on-call doctor is available in the hostel.","Hostel and Facilities"
"Who are the heads of departments?","Each department has a Head of Department (HOD) who manages academics and administration.","Faculty & Departments"
"Can students contact faculty members directly?","Yes, students can contact faculty members via official email or during office hours.","Faculty & Departments"
"How can I contact the principal?","You can contact the principal via email at [principal@techvision.edu](mailto:principal@techvision.edu) or by phone at +91-9876543210.","Contact, Location & Support"
"What is the admission process for B.Tech?","Admission to B.Tech programs is based on entrance exams followed by counseling and document verification.","Admission Process"
"What is the admission process for M.Tech?","Admission to M.Tech programs is based on GATE scores and a counseling session.","Admission Process"
"What is the admission process for MBA?","Admission to MBA is based on CAT/MAT scores followed by group discussion and personal interview.","Admission Process"
"When are the semester exams conducted?","Semester exams are usually conducted in December and May each year.","Exam Timetable and Results"
"How are the exam results declared?","Results are published online on the college portal within 4-6 weeks after the exams.","Exam Timetable and Results"
"Does the college organize annual cultural fests?","Yes, HIndusthan Institute of technology organizes an annual cultural fest called 'TechVision Utsav' every February.","Events, Fests & Clubs"
"What sports facilities are available?","Facilities for cricket, football, basketball, volleyball, and indoor games like table tennis and chess are available.","Events, Fests & Clubs"
"How can I reach the campus?","The college is located at TechVision Road, Cityville. It is accessible by bus, train, and taxi.","Contact, Location & Support"
"What is the official contact email?","You can reach us at [info@techvision.edu](mailto:info@techvision.edu).","Contact, Location & Support"
"What is the helpline number for student queries?","Call +91-9876543210 for any student-related queries.","Contact, Location & Support"
... [remaining Q&A entries up to 500 rows] ...
